P001,Chuot Logitech G102,Thiet bi ngoai vi,150000,150000,113,61,,21/12/2025
P002,Ban phim Keychron K6,Thiet bi ngoai vi,2200000,2200000,2200000,2200000,24,32
P003,Man hinh Dell 24 inch,Man hinh,3500000,3500000,21,32,21/12/2023,15/02/2025
P004,Tai nghe Sony WH1000XM4,Am thanh,4900000,4900000,44,100,21/12/2023,15/02/2025
P005,USB Kingston 32GB,Phu kien,250000,250000,10,37,21/12/2023,21/12/2025
P006,May tinh bo tui,Dung cu hoc tap,100000,100000,100000,100000,0,22
P007,VectorBook Pro 01,Laptop,21500000,15480000,35,45,15/01/2025,01/09/2024
P008,VectorBook Air 02,Laptop,18550000,13356000,40,51,18/01/2025,05/09/2024
P009,KeyNova 03,Ban phim,1050000,756000,45,57,21/01/2025,09/09/2024
P010,AeroMouse 04,Chuot,700000,504000,50,63,24/01/2025,13/09/2024
P011,PixelView 05,Man hinh,5000000,3600000,55,69,27/01/2025,17/09/2024
P012,SonicWave 06,Tai nghe,1750000,1260000,60,75,30/01/2025,21/09/2024
P013,StreamCam 07,Camera,2350000,1692000,65,81,02/02/2025,25/09/2024
P014,PowerDock 01,Phu kien,550000,396000,70,87,05/02/2025,29/09/2024
P015,GlidePad 02,Tablet,7350000,5292000,75,93,08/02/2025,03/10/2024
P016,RapidSSD 03,Linh kien PC,3400000,2448000,80,99,11/02/2025,07/10/2024
P017,SmartHub 04,Smart Home,1600000,1152000,85,105,14/02/2025,11/10/2024
P018,GameSphere 05,Gear Game,2650000,1908000,90,111,17/02/2025,15/10/2024
P019,VectorBook Pro 06,Laptop,21600000,15552000,95,117,20/02/2025,19/10/2024
P020,VectorBook Air 07,Laptop,18650000,13428000,100,123,23/02/2025,23/10/2024
P021,KeyNova 01,Ban phim,1150000,828000,105,129,26/02/2025,27/10/2024
P022,AeroMouse 02,Chuot,550000,396000,110,135,01/03/2025,31/10/2024
P023,PixelView 03,Man hinh,4850000,3492000,115,141,04/03/2025,04/11/2024
P024,SonicWave 04,Tai nghe,1850000,1332000,120,147,07/03/2025,08/11/2024
P025,StreamCam 05,Camera,2450000,1764000,125,153,10/03/2025,12/11/2024
P026,PowerDock 06,Phu kien,650000,468000,130,159,13/03/2025,16/11/2024
P027,GlidePad 07,Tablet,7200000,5184000,135,165,16/03/2025,20/11/2024
P028,RapidSSD 01,Linh kien PC,3250000,2340000,140,171,19/03/2025,24/11/2024
P029,SmartHub 02,Smart Home,1700000,1224000,145,177,22/03/2025,28/11/2024
P030,GameSphere 03,Gear Game,2750000,1980000,150,183,25/03/2025,02/12/2024
P031,VectorBook Pro 04,Laptop,21700000,15624000,155,189,28/03/2025,06/12/2024
P032,VectorBook Air 05,Laptop,18500000,13320000,160,195,31/03/2025,10/12/2024
P033,KeyNova 06,Ban phim,1000000,720000,165,201,03/04/2025,14/12/2024
P034,AeroMouse 07,Chuot,650000,468000,170,207,06/04/2025,18/12/2024
P035,PixelView 01,Man hinh,4950000,3564000,175,213,09/04/2025,22/12/2024
P036,SonicWave 02,Tai nghe,1950000,1404000,180,219,12/04/2025,26/12/2024
P037,StreamCam 03,Camera,2300000,1656000,185,195,15/04/2025,30/12/2024
P038,PowerDock 04,Phu kien,500000,360000,190,201,18/04/2025,03/01/2025
P039,GlidePad 05,Tablet,7300000,5256000,195,207,21/04/2025,07/01/2025
P040,RapidSSD 06,Linh kien PC,3350000,2412000,200,213,24/04/2025,11/01/2025
P041,SmartHub 07,Smart Home,1800000,1296000,205,219,27/04/2025,15/01/2025
P042,GameSphere 01,Gear Game,2600000,1872000,210,225,30/04/2025,19/01/2025
P043,VectorBook Pro 02,Laptop,21550000,15516000,215,231,03/05/2025,23/01/2025
P044,VectorBook Air 03,Laptop,18600000,13392000,220,237,06/05/2025,27/01/2025
P045,KeyNova 04,Ban phim,1100000,792000,225,243,09/05/2025,31/01/2025
P046,AeroMouse 05,Chuot,750000,540000,230,249,12/05/2025,04/02/2025
P047,PixelView 06,Man hinh,4800000,3456000,235,255,15/05/2025,08/02/2025
P048,SonicWave 07,Tai nghe,1800000,1296000,240,261,18/05/2025,12/02/2025
P049,StreamCam 01,Camera,2400000,1728000,245,267,21/05/2025,16/02/2025
P050,PowerDock 02,Phu kien,600000,432000,250,273,24/05/2025,20/02/2025
P051,GlidePad 03,Tablet,7400000,5328000,35,59,27/05/2025,24/02/2025
P052,RapidSSD 04,Linh kien PC,3200000,2304000,40,65,30/05/2025,28/02/2025
P053,SmartHub 05,Smart Home,1650000,1188000,45,71,02/06/2025,04/03/2025
P054,GameSphere 06,Gear Game,2700000,1944000,50,77,05/06/2025,08/03/2025
P055,VectorBook Pro 07,Laptop,21650000,15588000,55,83,08/06/2025,12/03/2025
P056,VectorBook Air 01,Laptop,18700000,13464000,60,89,11/06/2025,16/03/2025
P057,KeyNova 02,Ban phim,950000,684000,65,95,14/06/2025,20/03/2025
P058,AeroMouse 03,Chuot,600000,432000,70,101,17/06/2025,24/03/2025
P059,PixelView 04,Man hinh,4900000,3528000,75,107,20/06/2025,28/03/2025
P060,SonicWave 05,Tai nghe,1900000,1368000,80,113,23/06/2025,01/04/2025
P061,StreamCam 06,Camera,2500000,1800000,85,119,26/06/2025,05/04/2025
P062,PowerDock 07,Phu kien,450000,324000,90,125,29/06/2025,09/04/2025
P063,GlidePad 01,Tablet,7250000,5220000,95,131,02/07/2025,13/04/2025
P064,RapidSSD 02,Linh kien PC,3300000,2376000,100,137,05/07/2025,17/04/2025
P065,SmartHub 03,Smart Home,1750000,1260000,105,143,08/07/2025,21/04/2025
P066,GameSphere 04,Gear Game,2800000,2016000,110,149,11/07/2025,25/04/2025
P067,VectorBook Pro 05,Laptop,21500000,15480000,115,125,14/07/2025,29/04/2025
P068,VectorBook Air 06,Laptop,18550000,13356000,120,131,17/07/2025,03/05/2025
P069,KeyNova 07,Ban phim,1050000,756000,125,137,20/07/2025,07/05/2025
P070,AeroMouse 01,Chuot,700000,504000,130,143,23/07/2025,11/05/2025
P071,PixelView 02,Man hinh,5000000,3600000,135,149,26/07/2025,15/05/2025
P072,SonicWave 03,Tai nghe,1750000,1260000,140,155,29/07/2025,19/05/2025
P073,StreamCam 04,Camera,2350000,1692000,145,161,01/08/2025,23/05/2025
P074,PowerDock 05,Phu kien,550000,396000,150,167,04/08/2025,27/05/2025
P075,GlidePad 06,Tablet,7350000,5292000,155,173,07/08/2025,31/05/2025
P076,RapidSSD 07,Linh kien PC,3400000,2448000,160,179,10/08/2025,04/06/2025
P077,SmartHub 01,Smart Home,1600000,1152000,165,185,13/08/2025,08/06/2025
P078,GameSphere 02,Gear Game,2650000,1908000,170,191,16/08/2025,12/06/2025
P079,VectorBook Pro 03,Laptop,21600000,15552000,175,197,19/08/2025,16/06/2025
P080,VectorBook Air 04,Laptop,18650000,13428000,180,203,22/08/2025,20/06/2025
P081,KeyNova 05,Ban phim,1150000,828000,185,209,25/08/2025,24/06/2025
P082,AeroMouse 06,Chuot,550000,396000,190,215,28/08/2025,28/06/2025
P083,PixelView 07,Man hinh,4850000,3492000,195,221,31/08/2025,02/07/2025
P084,SonicWave 01,Tai nghe,1850000,1332000,200,227,03/09/2025,06/07/2025
P085,StreamCam 02,Camera,2450000,1764000,205,233,06/09/2025,10/07/2025
P086,PowerDock 03,Phu kien,650000,468000,210,239,09/09/2025,14/07/2025
P087,GlidePad 04,Tablet,7200000,5184000,215,245,12/09/2025,18/07/2025
P088,RapidSSD 05,Linh kien PC,3250000,2340000,220,251,15/09/2025,22/07/2025
P089,SmartHub 06,Smart Home,1700000,1224000,225,257,18/09/2025,26/07/2025
P090,GameSphere 07,Gear Game,2750000,1980000,230,263,21/09/2025,30/07/2025
P091,VectorBook Pro 01,Laptop,21700000,15624000,235,269,24/09/2025,03/08/2025
P092,VectorBook Air 02,Laptop,18500000,13320000,240,275,27/09/2025,07/08/2025
P093,KeyNova 03,Ban phim,1000000,720000,245,281,30/09/2025,11/08/2025
P094,AeroMouse 04,Chuot,650000,468000,250,287,03/10/2025,15/08/2025
P095,PixelView 05,Man hinh,4950000,3564000,35,73,06/10/2025,19/08/2025
P096,SonicWave 06,Tai nghe,1950000,1404000,40,79,09/10/2025,23/08/2025
P097,StreamCam 07,Camera,2300000,1656000,45,55,12/10/2025,27/08/2025
P098,PowerDock 01,Phu kien,500000,360000,50,61,15/10/2025,31/08/2025
