0,0,1,05/01/2025,1300000
1,3,2,06/01/2025,7100000
2,5,1,08/01/2025,3950000
3,7,2,09/01/2025,5650000
4,9,1,11/01/2025,5400000
5,11,2,14/01/2025,7150000
6,13,1,16/01/2025,2300000
7,15,2,18/01/2025,5700000
8,17,1,20/01/2025,5500000
9,19,2,22/01/2025,7100000
10,15,0,05/02/2025,24750000
11,32,1,06/02/2025,5300000
12,70,0,07/02/2025,23800000
13,5,0,08/02/2025,7000000
14,30,4,09/02/2025,2650000
15,72,1,10/02/2025,129500000
16,29,3,11/02/2025,17000000
17,1,1,12/02/2025,19250000
18,44,2,13/02/2025,74600000
19,44,0,14/02/2025,12250000
20,13,2,15/02/2025,5500000
21,6,3,16/02/2025,2100000
22,49,0,17/02/2025,25000000
23,47,4,18/02/2025,4900000
24,6,1,19/02/2025,36500000
25,11,1,20/02/2025,16450000
26,36,3,21/02/2025,3300000
27,21,2,22/02/2025,3000000
28,35,0,23/02/2025,7950000
29,69,1,24/02/2025,9200000
30,49,2,25/02/2025,2200000
31,42,0,26/02/2025,2750000
32,41,3,27/02/2025,9900000
33,28,4,28/02/2025,111000000
34,28,3,01/03/2025,59200000
35,19,2,02/03/2025,10600000
36,72,4,03/03/2025,4550000
37,75,3,04/03/2025,19200000
38,18,4,05/03/2025,6600000
39,7,0,06/03/2025,55950000
40,55,4,07/03/2025,7350000
41,49,4,08/03/2025,9500000
42,71,0,09/03/2025,6500000
43,69,2,10/03/2025,43800000
44,15,2,11/03/2025,56100000
45,59,0,12/03/2025,5000000
46,65,1,13/03/2025,3500000
47,39,4,14/03/2025,10600000
48,20,2,15/03/2025,1500000
49,70,4,16/03/2025,1200000
50,63,0,17/03/2025,44100000
51,40,1,18/03/2025,74200000
52,73,0,19/03/2025,40000000
53,9,4,20/03/2025,21900000
54,17,3,21/03/2025,15000000
55,34,4,22/03/2025,18550000
56,28,4,23/03/2025,9200000
57,40,3,24/03/2025,3900000
58,57,4,25/03/2025,1200000
59,32,1,26/03/2025,6300000
60,3,4,27/03/2025,20000000
61,29,0,28/03/2025,700000
62,30,0,29/03/2025,1800000
63,10,4,30/03/2025,108500000
64,63,1,31/03/2025,2100000
65,74,4,01/04/2025,10000000
66,61,3,02/04/2025,4900000
67,13,3,03/04/2025,5250000
68,53,3,04/04/2025,650000
69,13,0,05/04/2025,19200000
70,14,1,06/04/2025,9800000
71,69,3,07/04/2025,18550000
72,24,2,08/04/2025,7600000
73,10,3,09/04/2025,37200000
74,7,4,10/04/2025,4500000
75,31,1,11/04/2025,13200000
76,62,1,12/04/2025,3200000
77,22,3,13/04/2025,1400000
78,34,3,14/04/2025,16100000
79,72,3,15/04/2025,74600000
80,38,1,16/04/2025,18550000
81,41,0,17/04/2025,172000000
82,65,4,18/04/2025,1150000
83,66,0,19/04/2025,3700000
84,9,1,20/04/2025,6400000
85,73,1,21/04/2025,7350000
86,11,3,22/04/2025,14700000
87,34,1,23/04/2025,3900000
88,31,2,24/04/2025,22200000
89,39,3,25/04/2025,3600000
90,2,3,26/04/2025,37300000
91,10,4,27/04/2025,16250000
92,17,2,28/04/2025,4200000
93,48,2,29/04/2025,9200000
94,70,2,30/04/2025,21600000
95,71,2,01/05/2025,4900000
96,18,2,02/05/2025,14700000
97,71,1,03/05/2025,24750000
98,27,2,04/05/2025,36000000
99,65,3,05/05/2025,1000000
100,12,3,06/05/2025,1950000
101,1,2,07/05/2025,21900000
102,34,1,08/05/2025,39600000
103,71,3,09/05/2025,1750000
104,15,0,10/05/2025,5100000
105,70,0,11/05/2025,5400000
106,56,1,12/05/2025,750000
107,47,0,13/05/2025,3000000
108,32,0,14/05/2025,5250000
109,20,1,15/05/2025,3450000
