0,3,11/11/2025,15000000,1
1,0,21/12/2025,15000000,2
2,0,21/12/2025,30175000,1
3,0,24/12/2025,29345000,0
4,0,21/12/2025,7250000,1
5,6,05/10/2024,97776000,0
6,5,07/10/2024,403416000,3
7,3,09/10/2024,24840000,2
8,1,11/10/2024,5000000,3
9,3,13/10/2024,15048000,1
10,5,15/10/2024,16200000,2
11,3,17/10/2024,127400000,1
12,3,19/10/2024,201708000,3
13,1,21/10/2024,19800000,2
14,8,23/10/2024,114048000,3
15,5,25/10/2024,68796000,0
16,2,27/10/2024,2000000,2
17,6,29/10/2024,14040000,2
18,5,31/10/2024,40068000,3
19,1,02/11/2024,4356000,3
20,4,04/11/2024,281232000,0
21,0,06/11/2024,62208000,1
22,1,08/11/2024,201420000,2
23,1,10/11/2024,17640000,2
24,6,12/11/2024,62208000,2
25,4,14/11/2024,31752000,1
26,6,16/11/2024,357696000,1
27,4,18/11/2024,18000000,3
28,4,20/11/2024,93312000,2
29,5,22/11/2024,12996000,3
30,3,24/11/2024,56160000,3
31,2,26/11/2024,34776000,0
32,5,28/11/2024,22968000,0
33,3,30/11/2024,36720000,2
34,3,02/12/2024,29400000,1
35,3,04/12/2024,451008000,3
36,1,06/12/2024,48600000,3
37,3,08/12/2024,40392000,3
38,3,10/12/2024,35964000,1
39,0,12/12/2024,43416000,0
40,3,14/12/2024,418932000,1
41,8,16/12/2024,340560000,3
42,3,18/12/2024,31752000,0
43,7,20/12/2024,31464000,2
44,8,22/12/2024,68400000,3
45,2,24/12/2024,5616000,3
46,3,26/12/2024,152424000,2
47,8,28/12/2024,9936000,3
48,4,30/12/2024,13608000,3
49,4,01/01/2025,53460000,1
50,5,03/01/2025,17172000,0
51,3,05/01/2025,11016000,3
52,3,07/01/2025,34992000,0
53,5,09/01/2025,11664000,3
54,3,11/01/2025,12528000,3
55,0,13/01/2025,1620000,3
56,5,15/01/2025,28152000,2
57,6,17/01/2025,62640000,1
58,4,19/01/2025,26100000,3
59,6,21/01/2025,12168000,2
60,6,23/01/2025,12312000,1
61,8,25/01/2025,122544000,0
62,0,27/01/2025,62856000,0
63,2,29/01/2025,7992000,3
64,4,31/01/2025,20592000,3
65,7,02/02/2025,388368000,2
66,6,04/02/2025,29808000,2
67,4,06/02/2025,9000000,0
68,8,08/02/2025,9504000,0
69,1,10/02/2025,8280000,0
70,3,12/02/2025,84000000,1
71,2,14/02/2025,23040000,1
72,1,16/02/2025,36936000,1
73,4,18/02/2025,9504000,2
74,1,20/02/2025,19296000,1
75,0,22/02/2025,10296000,2
76,6,24/02/2025,146520000,3
77,1,26/02/2025,10692000,1
78,4,28/02/2025,43056000,0
79,0,02/03/2025,13608000,2
80,5,04/03/2025,31500000,0
81,5,06/03/2025,38880000,0
82,1,08/03/2025,86400000,3
83,7,10/03/2025,134640000,1
84,8,12/03/2025,466560000,2
85,8,14/03/2025,24624000,3
86,4,16/03/2025,93240000,2
87,4,18/03/2025,386280000,3
88,7,20/03/2025,66960000,3
89,7,22/03/2025,26640000,2
90,3,24/03/2025,201708000,2
91,5,26/03/2025,31104000,2
92,4,28/03/2025,170280000,0
93,1,30/03/2025,12960000,1
94,7,01/04/2025,24480000,1
95,7,03/04/2025,9360000,3
96,1,05/04/2025,20808000,2
97,3,07/04/2025,40572000,2
98,5,09/04/2025,75600000,3
99,5,11/04/2025,30888000,3
100,5,13/04/2025,37620000,2
101,4,15/04/2025,8640000,2
102,1,17/04/2025,10368000,1
103,8,19/04/2025,19404000,1
104,7,21/04/2025,16560000,2
