0,P001,245000,50,12250000
0,P002,2200000,20,44000000
0,P004,4900000,10,49000000
1,P004,4900000,50,245000000
1,P002,2200000,20,44000000
1,P001,245000,13,3185000
3,P001,245000,21,5145000
3,P002,2200000,10,22000000
3,P006,100000,22,2200000
4,P001,150000,20,3000000
4,P005,250000,17,4250000
5,P023,3492000,28,97776000
6,P103,15516000,26,403416000
7,P021,828000,30,24840000
8,P005,250000,20,5000000
9,P105,792000,19,15048000
10,P106,540000,30,16200000
11,P004,4900000,26,127400000
12,P043,15516000,13,201708000
13,P045,792000,25,19800000
14,P087,5184000,22,114048000
15,P015,5292000,13,68796000
16,P005,250000,8,2000000
17,P094,468000,30,14040000
18,P078,1908000,21,40068000
19,P074,396000,11,4356000
20,P091,15624000,18,281232000
21,P047,3456000,18,62208000
22,P080,13428000,15,201420000
23,P065,1260000,14,17640000
24,P052,2304000,27,62208000
25,P025,1764000,18,31752000
26,P079,15552000,23,357696000
27,P071,3600000,5,18000000
28,P027,5184000,18,93312000
29,P057,684000,19,12996000
30,P102,1872000,30,56160000
31,P037,1656000,21,34776000
32,P105,792000,29,22968000
33,P029,1224000,30,36720000
34,P004,4900000,6,29400000
35,P079,15552000,29,451008000
36,P054,1944000,25,48600000
37,P064,2376000,17,40392000
38,P084,1332000,27,35964000
39,P100,2412000,18,43416000
40,P103,15516000,27,418932000
41,P007,15480000,22,340560000
42,P059,3528000,9,31752000
43,P097,1656000,19,31464000
44,P071,3600000,19,68400000
45,P058,432000,13,5616000
46,P099,5256000,29,152424000
47,P081,828000,12,9936000
48,P010,504000,27,13608000
49,P035,3564000,15,53460000
50,P018,1908000,9,17172000
51,P089,1224000,9,11016000
52,P054,1944000,18,34992000
53,P054,1944000,6,11664000
54,P050,432000,29,12528000
55,P062,324000,5,1620000
56,P097,1656000,17,28152000
57,P063,5220000,12,62640000
58,P063,5220000,5,26100000
59,P086,468000,26,12168000
60,P060,1368000,9,12312000
61,P051,5328000,23,122544000
62,P083,3492000,18,62856000
63,P024,1332000,6,7992000
64,P042,1872000,11,20592000
65,P044,13392000,29,388368000
66,P097,1656000,18,29808000
67,P061,1800000,5,9000000
68,P045,792000,12,9504000
69,P097,1656000,5,8280000
70,P003,3500000,24,84000000
71,P017,1152000,20,23040000
72,P060,1368000,27,36936000
73,P022,396000,24,9504000
74,P040,2412000,8,19296000
75,P074,396000,26,10296000
76,P092,13320000,11,146520000
77,P014,396000,27,10692000
78,P102,1872000,23,43056000
79,P069,756000,18,13608000
80,P065,1260000,25,31500000
81,P054,1944000,20,38880000
82,P047,3456000,25,86400000
83,P056,13464000,10,134640000
84,P079,15552000,30,466560000
85,P060,1368000,18,24624000
86,P032,13320000,7,93240000
87,P032,13320000,29,386280000
88,P044,13392000,5,66960000
89,P024,1332000,20,26640000
90,P103,15516000,13,201708000
91,P077,1152000,27,31104000
92,P067,15480000,11,170280000
93,P093,720000,18,12960000
94,P089,1224000,20,24480000
95,P102,1872000,5,9360000
96,P029,1224000,17,20808000
97,P085,1764000,23,40572000
98,P071,3600000,21,75600000
99,P096,1404000,22,30888000
100,P090,1980000,19,37620000
101,P033,720000,12,8640000
102,P041,1296000,8,10368000
103,P025,1764000,11,19404000
104,P093,720000,23,16560000
